title,released year,duration,rating,story line,watch on,watch link
Johnny Gaddaar,2007,2h 15m,7.9,"Police officers recount a tale of missing money which results in lies, deceit, betrayal and death.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.f4b9b862-ee34-b916-1171-4b9ecbe3d12f
Memories,2013,2h 12m,8.0,"Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expected.",N/A,N/A
Dor,2006,2h 27m,8.0,"Two woman --different backgrounds, miles apart, and strangers to each other-- are linked by tragedy. Their new-found friendship is tested as one holds the fate of the other's husband in her hands.",MX Player,https://www.mxplayer.in/
Hey Ram,2000,3h 6m,7.9,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets out to kill him.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.52b72120-4b90-e3d2-3497-78bb5c9a1103
Joseph,2018,2h 18m,8.0,"The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is being investigated.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.ceb646fc-331d-c4da-caa2-a356417b14d0
Airlift,2016,2h 10m,7.9,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Voot,https://www.voot.com/
RRR,2022,3h 7m,7.9,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,Hotstar,https://www.hotstar.com/
Anjaam Pathiraa,2020,2h 24m,7.9,"The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?",SunNxt,https://www.sunnxt.com/
Kaakha..Kaakha: The Police,2003,2h 33m,8.0,"After a police team kills his brother, a drug-dealing gangster vows to kill the entire team and their respective families.",N/A,N/A
Gangaajal,2003,2h 37m,7.8,"An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician.",N/A,N/A
Okkadu,2003,2h 51m,8.0,A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.,Hotstar,https://www.hotstar.com/
Pokiri,2006,2h 44m,8.0,A money-minded criminal has to deal with two rival gangs as well as an evil cop threatening his girlfriend.,Hotstar,https://www.hotstar.com/
Thuppakki,2012,2h 45m,8.1,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.,Hotstar,https://www.hotstar.com/
The Lunchbox,2013,1h 44m,7.8,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,N/A,N/A
Vettaiyaadu Vilaiyaadu,2006,2h 54m,7.9,"A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.8ab65fde-55ea-8050-19d4-1c9c6f418119
Ab Tak Chhappan,2004,2h 9m,7.8,An honest encounter specialist's life begins to change with the arrival of a new police commissioner who has ties with a local don.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.a8bbfdd5-f37d-bd95-7e6c-4ef949a5cee2
Mumbai Police,2013,2h 25m,7.9,"ACP Antony is the only one who knows the truth behind ACP Aaryan's murder. Antony meets with an accident, losing his memory and is unable to reveal the killer. He is forced to investigate the murder again hoping that he remembers something.",Hotstar,https://www.hotstar.com/
Ghilli,2004,2h 40m,8.1,"Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will.",SunNxt,https://www.sunnxt.com/
Manam,2014,2h 43m,7.9,"Through reincarnation, family members are able to cross generations and meddle in each others' lives.",Hotstar,https://www.hotstar.com/
Unnaipol Oruvan,2009,1h 46m,8.0,A retiring police officer remembers a thrilling case of his life which is not recorded in any case files.,N/A,N/A
RangiTaranga,2015,2h 29m,8.2,"Mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist.",MX Player,https://www.mxplayer.in/
Veer-Zaara,2004,3h 12m,7.8,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.dcabea89-68d3-de65-1b0b-ca0ccd78b84f
Angamaly Diaries,2017,2h 12m,7.9,"Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale on which the film is based.",Netflix,https://www.netflix.com/watch/80182447?source=imdb
Vicky Donor,2012,2h 6m,7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",MX Player,https://www.mxplayer.in/
Kaththi,2014,2h 46m,8.1,A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.,N/A,N/A
Oopiri,2016,2h 38m,8.0,"Impressed by his carefree attitude, quadriplegic multi-billionaire Vikram hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",SunNxt,https://www.sunnxt.com/
Mother India,1957,2h 52m,7.8,"In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, she always sticks to her own moral code.",MX Player,https://www.mxplayer.in/
Secret Superstar,2017,2h 30m,7.8,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,Netflix,https://www.netflix.com/watch/80245408?source=imdb
